Title,Abstract,Category,Cleaned_Title,Cleaned_Abstract
AI in health and medicine,"Artificial intelligence (AI) is poised to broadly reshape medicine, potentially improving the experiences of both clinicians and patients. We discuss key findings from a 2-year weekly effort to track and share key developments in medical AI. We cover prospective studies and advances in medical image analysis, which have reduced the gap between research and deployment. We also address several promising avenues for novel medical AI research, including non-image data sources, unconventional problem formulations and human–AI collaboration. Finally, we consider serious technical and ethical challenges in issues spanning from data scarcity to racial bias. As these challenges are addressed, AI’s potential may be realized, making healthcare more accurate, efficient and accessible for patients worldwide. AI has the potential to reshape medicine and make healthcare more accurate, efficient and accessible; this Review discusses recent progress, opportunities and challenges toward achieving this goal.",Artificial Intelligence,ai health medicin,artifici intellig ai pois broadli reshap medicin potenti improv experi clinician patient discuss key find 2year weekli effort track share key develop medic ai cover prospect studi advanc medic imag analysi reduc gap research deploy also address sever promis avenu novel medic ai research includ nonimag data sourc unconvent problem formul humanai collabor final consid seriou technic ethic challeng issu span data scarciti racial bia challeng address ai potenti may realiz make healthcar accur effici access patient worldwid ai potenti reshap medicin make healthcar accur effici access review discuss recent progress opportun challeng toward achiev goal
Learning Deep Architectures for AI,"Theoretical results strongly suggest that in order to learn the kind of complicated functions that can represent high-level abstractions (e.g. in vision, language, and other AI-level tasks), one needs deep architectures. Deep architectures are composed of multiple levels of non-linear operations, such as in neural nets with many hidden layers or in complicated propositional formulae re-using many sub-formulae. Searching the parameter space of deep architectures is a difficult optimization task, but learning algorithms such as those for Deep Belief Networks have recently been proposed to tackle this problem with notable success, beating the state-of-the-art in certain areas. This paper discusses the motivations and principles regarding learning algorithms for deep architectures, in particular those exploiting as building blocks unsupervised learning of single-layer models such as Restricted Boltzmann Machines, used to construct deeper models such as Deep Belief Networks.",Artificial Intelligence,learn deep architectur ai,theoret result strongli suggest order learn kind complic function repres highlevel abstract eg vision languag ailevel task one need deep architectur deep architectur compos multipl level nonlinear oper neural net mani hidden layer complic proposit formula reus mani subformula search paramet space deep architectur difficult optim task learn algorithm deep belief network recent propos tackl problem notabl success beat stateoftheart certain area paper discuss motiv principl regard learn algorithm deep architectur particular exploit build block unsupervis learn singlelay model restrict boltzmann machin use construct deeper model deep belief network
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities and Challenges toward Responsible AI","In the last few years, Artificial Intelligence (AI) has achieved a notable momentum that, if harnessed
appropriately, may deliver the best of expectations over many application sectors across the field. For this
to occur shortly in Machine Learning, the entire community stands in front of the barrier of explainability,
an inherent problem of the latest techniques brought by sub-symbolism (e.g. ensembles or Deep Neural
Networks) that were not present in the last hype of AI (namely, expert systems and rule based models).
Paradigms underlying this problem fall within the so-called eXplainable AI (XAI) field, which is widely
acknowledged as a crucial feature for the practical deployment of AI models. The overview presented in
this article examines the existing literature and contributions already done in the field of XAI, including a
prospect toward what is yet to be reached. For this purpose we summarize previous efforts made to define
explainability in Machine Learning, establishing a novel definition of explainable Machine Learning that
covers such prior conceptual propositions with a major focus on the audience for which the explainability
is sought. Departing from this definition, we propose and discuss about a taxonomy of recent contributions
related to the explainability of different Machine Learning models, including those aimed at explaining
Deep Learning methods for which a second dedicated taxonomy is built and examined in detail. This
critical literature analysis serves as the motivating background for a series of challenges faced by XAI,
such as the interesting crossroads of data fusion and explainability. Our prospects lead toward the concept
of Responsible Artificial Intelligence, namely, a methodology for the large-scale implementation of AI
methods in real organizations with fairness, model explainability and accountability at its core. Our
ultimate goal is to provide newcomers to the field of XAI with a thorough taxonomy that can serve
as reference material in order to stimulate future research advances, but also to encourage experts and
professionals from other disciplines to embrace the benefits of AI in their activity sectors, without any
prior bias for its lack of interpretability",Artificial Intelligence,explain artifici intellig xai concept taxonomi opportun challeng toward respons ai,last year artifici intellig ai achiev notabl momentum har appropri may deliv best expect mani applic sector across field occur shortli machin learn entir commun stand front barrier explain inher problem latest techniqu brought subsymbol eg ensembl deep neural network present last hype ai name expert system rule base model paradigm underli problem fall within socal explain ai xai field wide acknowledg crucial featur practic deploy ai model overview present articl examin exist literatur contribut alreadi done field xai includ prospect toward yet reach purpos summar previou effort made defin explain machin learn establish novel definit explain machin learn cover prior conceptu proposit major focu audienc explain sought depart definit propos discuss taxonomi recent contribut relat explain differ machin learn model includ aim explain deep learn method second dedic taxonomi built examin detail critic literatur analysi serv motiv background seri challeng face xai interest crossroad data fusion explain prospect lead toward concept respons artifici intellig name methodolog largescal implement ai method real organ fair model explain account core ultim goal provid newcom field xai thorough taxonomi serv refer materi order stimul futur research advanc also encourag expert profession disciplin embrac benefit ai activ sector without prior bia lack interpret
HuggingGPT: Solving AI Tasks with ChatGPT and its Friends in Hugging Face,"Solving complicated AI tasks with different domains and modalities is a key step toward artificial general intelligence. While there are numerous AI models available for various domains and modalities, they cannot handle complicated AI tasks autonomously. Considering large language models (LLMs) have exhibited exceptional abilities in language understanding, generation, interaction, and reasoning, we advocate that LLMs could act as a controller to manage existing AI models to solve complicated AI tasks, with language serving as a generic interface to empower this. Based on this philosophy, we present HuggingGPT, an LLM-powered agent that leverages LLMs (e.g., ChatGPT) to connect various AI models in machine learning communities (e.g., Hugging Face) to solve AI tasks. Specifically, we use ChatGPT to conduct task planning when receiving a user request, select models according to their function descriptions available in Hugging Face, execute each subtask with the selected AI model, and summarize the response according to the execution results. By leveraging the strong language capability of ChatGPT and abundant AI models in Hugging Face, HuggingGPT can tackle a wide range of sophisticated AI tasks spanning different modalities and domains and achieve impressive results in language, vision, speech, and other challenging tasks, which paves a new way towards the realization of artificial general intelligence.",Artificial Intelligence,hugginggpt solv ai task chatgpt friend hug face,solv complic ai task differ domain modal key step toward artifici gener intellig numer ai model avail variou domain modal handl complic ai task autonom consid larg languag model llm exhibit except abil languag understand gener interact reason advoc llm could act control manag exist ai model solv complic ai task languag serv gener interfac empow base philosophi present hugginggpt llmpower agent leverag llm eg chatgpt connect variou ai model machin learn commun eg hug face solv ai task specif use chatgpt conduct task plan receiv user request select model accord function descript avail hug face execut subtask select ai model summar respons accord execut result leverag strong languag capabl chatgpt abund ai model hug face hugginggpt tackl wide rang sophist ai task span differ modal domain achiev impress result languag vision speech challeng task pave new way toward realiz artifici gener intellig
Can AI-Generated Text be Reliably Detected?,"The unregulated use of LLMs can potentially lead to malicious consequences such as plagiarism, generating fake news, spamming, etc. Therefore, reliable detection of AI-generated text can be critical to ensure the responsible use of LLMs. Recent works attempt to tackle this problem either using certain model signatures present in the generated text outputs or by applying watermarking techniques that imprint specific patterns onto them. In this paper, we show that these detectors are not reliable in practical scenarios. In particular, we develop a recursive paraphrasing attack to apply on AI text, which can break a whole range of detectors, including the ones using the watermarking schemes as well as neural network-based detectors, zero-shot classifiers, and retrieval-based detectors. Our experiments include passages around 300 tokens in length, showing the sensitivity of the detectors even in the case of relatively long passages. We also observe that our recursive paraphrasing only degrades text quality slightly, measured via human studies, and metrics such as perplexity scores and accuracy on text benchmarks. Additionally, we show that even LLMs protected by watermarking schemes can be vulnerable against spoofing attacks aimed to mislead detectors to classify human-written text as AI-generated, potentially causing reputational damages to the developers. In particular, we show that an adversary can infer hidden AI text signatures of the LLM outputs without having white-box access to the detection method. Finally, we provide a theoretical connection between the AUROC of the best possible detector and the Total Variation distance between human and AI text distributions that can be used to study the fundamental hardness of the reliable detection problem for advanced language models. Our code is publicly available at https://github.com/vinusankars/Reliability-of-AI-text-detectors.",Artificial Intelligence,aigener text reliabl detect,unregul use llm potenti lead malici consequ plagiar gener fake news spam etc therefor reliabl detect aigener text critic ensur respons use llm recent work attempt tackl problem either use certain model signatur present gener text output appli watermark techniqu imprint specif pattern onto paper show detector reliabl practic scenario particular develop recurs paraphras attack appli ai text break whole rang detector includ one use watermark scheme well neural networkbas detector zeroshot classifi retrievalbas detector experi includ passag around 300 token length show sensit detector even case rel long passag also observ recurs paraphras degrad text qualiti slightli measur via human studi metric perplex score accuraci text benchmark addit show even llm protect watermark scheme vulner spoof attack aim mislead detector classifi humanwritten text aigener potenti caus reput damag develop particular show adversari infer hidden ai text signatur llm output without whitebox access detect method final provid theoret connect auroc best possibl detector total variat distanc human ai text distribut use studi fundament hard reliabl detect problem advanc languag model code publicli avail httpsgithubcomvinusankarsreliabilityofaitextdetector
From local explanations to global understanding with explainable AI for trees,"Tree-based machine learning models such as random forests, decision trees and gradient boosted trees are popular nonlinear predictive models, yet comparatively little attention has been paid to explaining their predictions. Here we improve the interpretability of tree-based models through three main contributions. (1) A polynomial time algorithm to compute optimal explanations based on game theory. (2) A new type of explanation that directly measures local feature interaction effects. (3) A new set of tools for understanding global model structure based on combining many local explanations of each prediction. We apply these tools to three medical machine learning problems and show how combining many high-quality local explanations allows us to represent global structure while retaining local faithfulness to the original model. These tools enable us to (1) identify high-magnitude but low-frequency nonlinear mortality risk factors in the US population, (2) highlight distinct population subgroups with shared risk characteristics, (3) identify nonlinear interaction effects among risk factors for chronic kidney disease and (4) monitor a machine learning model deployed in a hospital by identifying which features are degrading the model’s performance over time. Given the popularity of tree-based machine learning models, these improvements to their interpretability have implications across a broad set of domains. Tree-based machine learning models are widely used in domains such as healthcare, finance and public services. The authors present an explanation method for trees that enables the computation of optimal local explanations for individual predictions, and demonstrate their method on three medical datasets.",Artificial Intelligence,local explan global understand explain ai tree,treebas machin learn model random forest decis tree gradient boost tree popular nonlinear predict model yet compar littl attent paid explain predict improv interpret treebas model three main contribut 1 polynomi time algorithm comput optim explan base game theori 2 new type explan directli measur local featur interact effect 3 new set tool understand global model structur base combin mani local explan predict appli tool three medic machin learn problem show combin mani highqual local explan allow us repres global structur retain local faith origin model tool enabl us 1 identifi highmagnitud lowfrequ nonlinear mortal risk factor us popul 2 highlight distinct popul subgroup share risk characterist 3 identifi nonlinear interact effect among risk factor chronic kidney diseas 4 monitor machin learn model deploy hospit identifi featur degrad model perform time given popular treebas machin learn model improv interpret implic across broad set domain treebas machin learn model wide use domain healthcar financ public servic author present explan method tree enabl comput optim local explan individu predict demonstr method three medic dataset
Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,"Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinary abilities of ChatGPT to perform complex tasks within the field of education has caused mixed feelings among educators, as this advancement in AI seems to revolutionize existing educational praxis. This is an exploratory study that synthesizes recent extant literature to offer some potential benefits and drawbacks of ChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited to promotion of personalized and interactive learning, generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc. The paper also highlights some inherent limitations in the ChatGPT such as generating wrong information, biases in data training, which may augment existing biases, privacy issues etc. The study offers recommendations on how ChatGPT could be leveraged to maximize teaching and learning. Policy makers, researchers, educators and technology experts could work together and start conversations on how these evolving generative AI tools could be used safely and constructively to improve education and support students’ learning.",Artificial Intelligence,educ era gener artifici intellig ai understand potenti benefit chatgpt promot teach learn,sinc maiden releas public domain novemb 30 2022 chatgpt garner one million subscrib within week gener ai tool chatgpt took world surpris sophist capac carri remark complex task extraordinari abil chatgpt perform complex task within field educ caus mix feel among educ advanc ai seem revolution exist educ praxi exploratori studi synthes recent extant literatur offer potenti benefit drawback chatgpt promot teach learn benefit chatgpt includ limit promot person interact learn gener prompt form assess activ provid ongo feedback inform teach learn etc paper also highlight inher limit chatgpt gener wrong inform bias data train may augment exist bias privaci issu etc studi offer recommend chatgpt could leverag maxim teach learn polici maker research educ technolog expert could work togeth start convers evolv gener ai tool could use safe construct improv educ support student learn
Constitutional AI: Harmlessness from AI Feedback,"As AI systems become more capable, we would like to enlist their help to supervise other AIs. We experiment with methods for training a harmless AI assistant through self-improvement, without any human labels identifying harmful outputs. The only human oversight is provided through a list of rules or principles, and so we refer to the method as 'Constitutional AI'. The process involves both a supervised learning and a reinforcement learning phase. In the supervised phase we sample from an initial model, then generate self-critiques and revisions, and then finetune the original model on revised responses. In the RL phase, we sample from the finetuned model, use a model to evaluate which of the two samples is better, and then train a preference model from this dataset of AI preferences. We then train with RL using the preference model as the reward signal, i.e. we use 'RL from AI Feedback' (RLAIF). As a result we are able to train a harmless but non-evasive AI assistant that engages with harmful queries by explaining its objections to them. Both the SL and RL methods can leverage chain-of-thought style reasoning to improve the human-judged performance and transparency of AI decision making. These methods make it possible to control AI behavior more precisely and with far fewer human labels.",Artificial Intelligence,constitut ai harmless ai feedback,ai system becom capabl would like enlist help supervis ai experi method train harmless ai assist selfimprov without human label identifi harm output human oversight provid list rule principl refer method constitut ai process involv supervis learn reinforc learn phase supervis phase sampl initi model gener selfcritiqu revis finetun origin model revis respons rl phase sampl finetun model use model evalu two sampl better train prefer model dataset ai prefer train rl use prefer model reward signal ie use rl ai feedback rlaif result abl train harmless nonevas ai assist engag harm queri explain object sl rl method leverag chainofthought style reason improv humanjudg perform transpar ai decis make method make possibl control ai behavior precis far fewer human label
Why Johnny Can’t Prompt: How Non-AI Experts Try (and Fail) to Design LLM Prompts,"Pre-trained large language models (“LLMs”) like GPT-3 can engage in fluent, multi-turn instruction-taking out-of-the-box, making them attractive materials for designing natural language interactions. Using natural language to steer LLM outputs (“prompting”) has emerged as an important design technique potentially accessible to non-AI-experts. Crafting effective prompts can be challenging, however, and prompt-based interactions are brittle. Here, we explore whether non-AI-experts can successfully engage in “end-user prompt engineering” using a design probe—a prototype LLM-based chatbot design tool supporting development and systematic evaluation of prompting strategies. Ultimately, our probe participants explored prompt designs opportunistically, not systematically, and struggled in ways echoing end-user programming systems and interactive machine learning systems. Expectations stemming from human-to-human instructional experiences, and a tendency to overgeneralize, were barriers to effective prompt design. These findings have implications for non-AI-expert-facing LLM-based tool design and for improving LLM-and-prompt literacy among programmers and the public, and present opportunities for further research.",Artificial Intelligence,johnni cant prompt nonai expert tri fail design llm prompt,pretrain larg languag model llm like gpt3 engag fluent multiturn instructiontak outofthebox make attract materi design natur languag interact use natur languag steer llm output prompt emerg import design techniqu potenti access nonaiexpert craft effect prompt challeng howev promptbas interact brittl explor whether nonaiexpert success engag endus prompt engin use design probea prototyp llmbase chatbot design tool support develop systemat evalu prompt strategi ultim probe particip explor prompt design opportunist systemat struggl way echo endus program system interact machin learn system expect stem humantohuman instruct experi tendenc overgener barrier effect prompt design find implic nonaiexpertfac llmbase tool design improv llmandprompt literaci among programm public present opportun research
Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,"Engineering education is constantly evolving to keep up with the latest technological developments and meet the changing needs of the engineering industry. One promising development in this field is the use of generative artificial intelligence technology, such as the ChatGPT conversational agent. ChatGPT has the potential to offer personalized and effective learning experiences by providing students with customized feedback and explanations, as well as creating realistic virtual simulations for hands-on learning. However, it is important to also consider the limitations of this technology. ChatGPT and other generative AI systems are only as good as their training data and may perpetuate biases or even generate and spread misinformation. Additionally, the use of generative AI in education raises ethical concerns such as the potential for unethical or dishonest use by students and the potential unemployment of humans who are made redundant by technology. While the current state of generative AI technology represented by ChatGPT is impressive but flawed, it is only a preview of what is to come. It is important for engineering educators to understand the implications of this technology and study how to adapt the engineering education ecosystem to ensure that the next generation of engineers can take advantage of the benefits offered by generative AI while minimizing any negative consequences.",Artificial Intelligence,engin educ era chatgpt promis pitfal gener ai educ,engin educ constantli evolv keep latest technolog develop meet chang need engin industri one promis develop field use gener artifici intellig technolog chatgpt convers agent chatgpt potenti offer person effect learn experi provid student custom feedback explan well creat realist virtual simul handson learn howev import also consid limit technolog chatgpt gener ai system good train data may perpetu bias even gener spread misinform addit use gener ai educ rais ethic concern potenti uneth dishonest use student potenti unemploy human made redund technolog current state gener ai technolog repres chatgpt impress flaw preview come import engin educ understand implic technolog studi adapt engin educ ecosystem ensur next gener engin take advantag benefit offer gener ai minim neg consequ
